id	titlescore	titlestd
11egd1	503.428571429	700.94560766
11ek7v	56.9180327869	304.2044338
11erzc	65.2753623188	209.046065519
11ettf	75.2419354839	322.857188317
11euj9	35.7242990654	132.452261434
11ewsf	293.557522124	371.395239176
11f0wo	44.1290322581	130.382054459
11f3mn	396	320.578851455
11fopr	381.743902439	568.570421899
11fshn	259.70781893	452.203395072
11g6p1	16	17.1464281995
11g79o	354.545454545	608.832618233
11gd03	310.272727273	301.39858566
11gggf	33.6666666667	18.4360757454
11ghdg	272.823529412	226.926195645
11gij6	127.807692308	310.823886886
11giko	315.274193548	392.497359871
11gikx	24.8	22.5246531605
11gjq9	76.2873563218	328.309039584
11gsrj	37.9032258065	118.684823836
11gtni	44.1428571429	170.829488923
11gu0x	89.6	29.014479144
11gvfx	114.775862069	340.301263239
11h12a	null	null
11h1vf	30	52.4245489569
11hmah	13	0
11i3wf	334.737931034	506.088775376
11i9nv	37.661971831	133.130661611
11iab4	127.5	145.225686433
11id8e	203.909090909	532.975644087
11ids5	165.545454545	447.851104241
11if67	7.5714285714	5.525451316
11ifpf	null	null
11iiek	67.7297297297	137.814730443
11ik21	167.348623853	431.030756819
11iqsw	732	687
11ir9c	197.125	328.422151164
11isd0	127.711442786	342.443860117
11jcod	65.6	66.5450223533
11jjkg	121.961165049	458.80111651
11jnlm	41.375	39.5409202599
11k7g1	351.714285714	437.106300993
11kale	242.125	463.961772177
11kcu9	39.1509433962	198.676079998
11kdw9	275.038369305	625.01247064
11kijb	72.2641509434	216.950229137
11kiye	209.012519562	704.741626702
11kmem	50.3333333333	218.126073927
11l5k1	63.6437571592	254.7666592
11lb5m	173.988505747	450.139357585
11lbl4	226.075	426.588319548
11lg0x	264.204081633	486.046734109
11lxfr	225.166666667	480.630286418
11m0lf	49.5526315789	166.041005932
11m6ik	52	0
11m8lu	361.111111111	382.339962486
11mgco	129.928421053	425.807813249
11mja8	331.451282051	395.33138509
11mly8	388.5	357.5
11mps4	38.5391304348	122.136722175
11msjn	2	1
11muto	217.607142857	404.031623522
11najo	78.2556053812	213.866963703
11nbmz	115.512158055	424.115988183
11nkbj	288.741741742	815.110655525
11nl03	484.666666667	702.76472779
11nqen	327.252336449	405.847171951
11o5ue	175.825806452	413.295768472
11ocu8	222.71	276.501041409
11ofxj	13.6	21.8137571271
11ok1e	122.242424242	384.943891777
11olhj	38.0714285714	166.488208199
11omn0	214.733333333	332.369566731
11oovo	226.995024876	403.71298481
11op28	480.899280576	834.014507361
11oply	205.831683168	360.005969953
11opsx	40.958677686	199.819480379
11oqa2	1	0
11ous6	79.136627907	251.657231461
11ox73	263.25	476.125530541
11p6fi	171.586419753	352.583404809
11pcd2	77.7445482866	228.180341129
11pgvl	264.5	104.086102178
11q1ht	186.843478261	517.574898446
11q58c	11.6428571429	20.2329545292
11qdh4	null	null
11qjbx	60.3333333333	53.6490654366
11qlhk	125.733558179	357.270366118
11qmlv	93.0576923077	282.363405606
11qo5g	285.293814433	494.873587173
11qr9g	74.1596638655	233.14347958
11qs41	138.916176471	450.975152932
11r5n3	169.730994152	507.758332405
11r62f	552.768382353	537.798181341
11r6vc	37.1346153846	152.45731166
11r8yf	691.833333333	846.878467603
11ravq	292.266331658	325.823324234
11re6h	108.457142857	270.805870675
11rn0z	97.9166666667	189.200712795
11rvek	418.152173913	512.247575194
11s1wz	186.8	378.392996764
11s92n	33.6530612245	66.2144170196
11sg43	40	0
11sjzv	null	null
11so49	82.0076335878	231.436420504
11sor5	52.935483871	136.935963878
11suyu	56.873015873	183.0121422
11t1md	198.287671233	395.622155406
11t34p	241.428571429	83.8772183319
11ta95	10	0
11tbji	146.678571429	320.938251023
11te6j	8	9.6214047089
11tl58	306.602209945	404.598958107
11tpqe	20.6666666667	15.8919965881
11ts0x	204.333333333	142.254076294
11twcf	413.357142857	625.56608731
11u6h7	386	549.550052421
11u8ya	60.8088235294	194.662245754
11uab5	53.9693877551	133.218667418
11uai7	52.4344827586	198.316563858
11ue41	57.3153153153	208.437385849
11ugh3	119.119047619	320.988176787
11ul4q	231.98019802	447.439779237
11unvs	574.5	213.5
11uohv	64.4020618557	164.174075317
11uwsx	143	103
11uxvd	77.6	130.417176783
11vcy2	178.035135135	571.59866979
11ve97	85.5648535565	248.231988815
11veft	236.563829787	333.10451553
11vfzz	23.3333333333	22.2361067735
11vxwx	174.754402224	467.148314406
11w08n	184.888888889	360.124388172
11w6d9	646	481
11w6hl	352.242424242	693.877381112
11w95n	62.8350515464	171.882882712
11wojn	106.638888889	221.550525776
11wp9i	139.666666667	68.2658203073
11wr7d	48.84	122.422115649
11ws7p	225.878787879	312.168087095
11wtdn	79	0
11x5f0	524.243421053	734.55477024
11xcf2	318.96373057	425.574958517
11xk2i	107.658653846	374.181586191
11xmu9	303.318181818	535.232607578
11xtal	106.755102041	251.693693873
11xux4	75.4	141.332610061
11xzvi	null	null
11y09d	null	null
11y0m7	184.467236467	310.241893371
11y1be	80.8096885813	258.592841933
11y23p	414.75	539.586319168
11y2o8	259.949367089	525.083981197
11y6uc	951.5	949.5
11y6za	39.3457943925	147.890847777
11y84d	18.5	14.5
11ya04	86.7356321839	217.36602214
11yo4o	152.72972973	395.403772327
11yprd	null	null
11yrdx	158.362745098	312.134045778
11yuqi	39.6909090909	196.034493507
11yvsh	141.236363636	284.798427194
11z4go	65.3945783133	236.867466566
11z730	189.25	475.840331239
11zbji	337.900990099	521.046842404
11zc4u	170.601851852	473.399681184
11zlk1	4.4	3.2
11zrdc	155.333333333	121.403825676
12 hb	781	0
1200f2	125.545454545	293.668137881
1200h3	149.272727273	459.43323742
1200hf	88.45	394.292654636
1202s5	234.909090909	350.806979962
1203f7	101	233.01527342
1203nd	45.8510638298	100.756918082
1203zn	108.625	244.844987101
1208bt	81.1	117.204479437
120aw8	30.3113207547	134.461214384
120e2n	31.8787878788	113.497320996
120kg8	329.916666667	348.0805602
120lhr	37.6451612903	84.1138047767
120q2k	null	null
120uiv	244.733333333	483.468505236
121w4h	103.936213992	324.943790716
121xl2	228.894736842	334.381738159
121z7a	17.564516129	66.7831398869
12221t	147.037383178	669.043618226
1222gl	372.811320755	615.920915754
1225cp	2061	0
12276x	186.257575758	529.931641597
122dhp	35.6477272727	110.194718131
122ext	127.25	277.112078709
122it6	497.742788462	664.804365885
122kui	88.101010101	222.034008449
122owo	null	null
122ra6	91.6349206349	285.67910189
122xr6	null	null
123a2z	166.571428571	73.1512271997
123cqa	79.6991150442	209.355263326
123vxt	13.3846153846	19.6450755683
1247fn	71.6842105263	132.953119016
1249fi	1	0
124a07	270.575757576	316.59964493
124aji	227.316666667	579.759030163
124b7y	183.51	313.225142509
124mgs	501.145454545	643.18522479
124q1b	38.5555555556	213.592448586
124q3r	205.43537415	251.504150384
124uj8	331.315315315	414.781978593
1258be	98.2456140351	253.032366053
125me9	56	0
125nmu	1357	0
125s90	715.142857143	706.556524596
1261ro	12.5172413793	23.0660531124
12658v	4	0
1268r0	171.5	239.624880456
126anj	152.691666667	294.417639752
126ayz	1130	652.241682294
126evi	1.6666666667	0.9428090416
126gof	116.2039801	269.208667488
126mkg	479.8	252.074909501
126zkm	110.208672087	329.537727184
12711q	69.962962963	248.567721574
12759b	163.491935484	410.432930934
12769i	74	67
127k5n	10	7.4833147736
127nlr	28.6204379562	111.343234131
127oj4	5.5	0.5
127pwu	78.4460227273	229.686897646
127r7u	224.339805825	392.590687152
127t51	170.432835821	412.783361702
127taa	312.36	382.108663079
127tb4	30.7258064516	133.627089362
127ua1	165.842105263	444.079669482
127xvn	124.995798319	308.07123614
12846r	92.7943925234	284.420668384
1285ca	138.315789474	200.95876839
128ce5	174.549657534	432.583665516
128cfo	135.498630137	435.027233439
129f4n	31.25	20.1664944896
129jpx	32.0357142857	84.6707835185
129lyb	53.6466165414	234.184015927
129mhr	202.780612245	329.036840924
129nl7	137.204889406	343.292453884
129pkf	113.386363636	301.52259194
129r0e	52.6666666667	22.125902367
129s36	163.083333333	442.175474742
129sn5	24	0
129ug4	131.903614458	355.04955074
129wri	104.553191489	394.623411928
129xzb	178.46	429.821321481
129zpp	50.6666666667	66.7149824919
129zwx	3.5	2.5
12a3ke	37.9194630872	117.628268801
12a4hp	224.681818182	542.546134307
12a5p1	382	328.23695709
12aj91	58.8901098901	176.463453898
12bfie	258.033834586	326.38572535
12blo2	197.444444444	329.662603428
12btpk	61	23.6995077305
12bwy2	5.5	2.5
12bxr7	82	241.550864013
12bxvl	119.636363636	286.31285264
12bxwl	13	0
12c00l	null	null
12c09x	507.634085213	725.988695094
12c183	207.333333333	519.110123443
12c223	34.8942307692	96.3757588286
12c2vh	27.6960784314	112.644398764
12c4kr	215.330357143	533.863151078
12c4p1	43.0588235294	256.063174785
12c6qi	173.403252033	294.724261359
12c86o	318.1	529.196422547
12c9l6	255.171597633	302.479555998
12cchk	261.701570681	466.488710713
12cg99	453.545454545	684.137594299
12cjay	166	390.923164618
12cjon	349.4	221.737322073
12clyk	null	null
12cn1t	48.0769230769	198.809153594
12cqsd	269.764705882	578.738750453
12dqlh	263.201923077	348.387532338
12dydq	175.760869565	532.572803138
12dzhi	6.9714285714	11.5052428156
12e41f	81.7702702703	617.508147387
12e4mw	30.8686868687	139.39614696
12e7lw	354.913385827	391.83551554
12e96o	92	0
12eexr	95.7861271676	301.109807393
12egel	65.9434554974	246.355689195
12eghe	51.8070175439	135.400761691
12el7v	38.15	125.677474115
12eo27	296.8625	451.934017412
12erf2	194.346153846	451.652473812
12fy6j	120.040789474	369.651328843
12fybf	3	1
12g37q	115.454545455	179.801196203
12g5s1	318.633333333	420.196777977
12gbj3	118.750972763	305.299706433
12gc0t	181.117647059	342.017007206
12gdte	105.358974359	269.968135554
12gfj2	96.3051948052	325.081062044
12gion	165.947368421	121.222489525
12gknj	79.9655172414	181.530368459
12glf0	69.2807017544	112.133027888
12gp94	614.343434343	888.583888272
12grup	277.4	353.488104467
12gxmu	256.246153846	256.523595002
12h3mt	245.896153846	402.919280884
12h7dt	103.833333333	228.939159798
12hi54	98.1488706366	367.671921839
12hjfw	294.375	423.994674937
12i2m3	81.3467741935	236.844921509
12i65y	415	600.238048016
12i9we	29	26.9196334794
12ibio	106.727272727	285.579424045
12iclz	55.6314199396	191.008035399
12idgr	179.34384858	434.43753665
12idx7	306.962264151	464.323568145
12iecr	142.212121212	298.929682375
12ipbp	427.373737374	487.259696502
12iq2u	9	0
12ircl	533.75	812.518576711
12iwuw	237.981343284	547.637404917
12iywd	109.6	195.619971714
12iz6k	308.682352941	406.000006136
12j5ag	350.467661692	506.347932803
12jbgy	188.846153846	223.054614269
12jfta	3.2727272727	1.6564424689
12jiwp	153.594405594	280.5187063
12jnwx	94.8781512605	422.336495469
12jt09	169.5	94.3358362448
12jvlt	324.284046693	473.893863672
12k2sw	123.811881188	280.556120747
12k6br	172.223076923	508.782169883
12kaf3	620.5	73.5
12kahw	284.141509434	611.489496642
12kbgh	44	0
12kisk	12.1111111111	19.9133927264
12kmvv	59	113.796069592
12kveo	42.5	49.5
12kwpm	243.101010101	285.211085925
12l0l5	112.723684211	331.137795244
12lb32	null	null
12lcd8	229.32	420.247900173
12lghm	8	0
12lms2	247.801886792	462.178198497
12lpsq	277.888888889	285.84395294
12ltes	330.34375	421.523695165
12lw8c	4.625	2.642796814
12lwoi	16.5714285714	25.2068989585
12lx26	164.037037037	316.180970388
12m1tb	18.3454545455	52.2404295478
12m3mk	42.9166666667	175.336086005
12m4l6	78.9303135889	240.551562824
12m4yi	178.897379913	496.366048055
12m5be	88.4	43.5687961734
12md10	74.9081632653	118.320395773
12mfjk	62.2132352941	200.386883453
12mjfr	null	null
12mk6z	249.782608696	289.734804759
12mudi	119.840277778	299.546083989
12nrn2	1909	0
12ns62	372.59375	457.625337524
12nuyw	124.177664975	330.348107288
12nvzi	169.888888889	208.63441947
12nw40	null	null
12nwtm	156.419354839	357.572259712
12nwvt	300.352941176	558.761439275
12nxfi	171.110047847	352.024632599
12nxjh	106.074324324	356.994910464
12nywp	86.7831632653	253.92617323
12o1j7	39	38.113864494
12o4py	45.0765550239	134.611309576
12o817	149.586481113	440.777345117
12ob50	273.933333333	294.928119303
12oe1y	237.257142857	315.909963923
12oeq0	235.2	118.411823734
12opn8	392.75	270.644947302
12p83y	7.25	6.0156047078
12plmv	172.664179104	295.354680383
12pr6b	1.6666666667	0.9428090416
12pr7o	216.771428571	588.783797717
12pxsm	92.5021097046	386.526876642
12py21	119.602150538	480.914029824
12q2r9	251.9375	367.863052318
12q3ia	269.090909091	369.747281723
12q570	246.365517241	433.575413061
12qa7m	34.6333333333	102.444451073
12qemp	186.85	395.233004062
12qfbj	83.6162790698	257.934829005
12qi26	295.425742574	399.947109041
12qj9z	40.3510638298	75.5678795108
12qqu5	163.4	366.701714875
12qtgf	33.2	45.0661735673
12r1pc	427.175824176	441.214273364
12r6t5	316.321428571	470.743432059
12r7yb	408.034883721	750.286417367
12rb37	87.0555555556	275.275903122
12ri3b	404.592592593	496.919194509
12rldg	376	503.737376554
12rqph	103.545454545	344.303014967
12rrmr	264.374301676	545.314290607
12rrvb	132.368181818	359.269873097
12rurd	250.56	595.668638087
12rv4e	660.421259843	877.325023327
12rvyj	null	null
12rwas	140.700164745	309.809011236
12rwn4	38.875	180.448702891
12rxfk	109.768595041	243.968083549
12rxnu	120.906510851	323.472433601
12rz5m	91.0212765957	328.300814923
12s2iq	56	110.538077904
12s5gq	137.042553191	385.031745442
12s9t9	317.74025974	372.602462247
12s9wx	197.11965812	478.176757406
12sk8p	123.342857143	314.089427016
12smp2	139.846	398.652593475
12snm2	129.979381443	237.005980149
12snq3	176.139534884	608.082024049
12soe5	293.777777778	476.65659145
12sowz	178.097938144	402.3013638
12sp6l	60.832	245.516068264
12spta	342.779552716	627.248201301
12srob	137.231270358	393.364053723
12st5s	67.2592592593	140.217976497
12stfm	398.754716981	676.163257769
12strd	287.922535211	365.194084497
12sy5a	166.016129032	532.935086283
12sz7m	87.2352941176	248.575898503
12t068	77.8260869565	203.4355901
12t0lg	7.6779661017	9.1955049409
12t8by	177.913752914	452.183410116
12ti5m	176.937799043	491.827595495
12tjlq	null	null
12ufzj	154.423076923	530.7962732
12un2j	56.9259259259	119.173364513
12uogk	75.4716981132	258.153355313
12uojt	31	0
12uor3	301.3	528.37023951
12uosb	38.65	210.267276341
12urwt	552.993031359	825.926712093
12utwg	258.153061224	306.216221862
12uvdj	81.3944954128	231.607050896
12uwu0	null	null
12v34q	83.8048780488	299.075434922
12v43m	281.863636364	318.946559068
12v4ir	283.157894737	364.693805213
12v632	62.1152263374	199.438520222
12v91i	42	69.6796239944
12v9b3	74.7647058824	254.91117932
12vacx	95.25	121.691977961
12vdo2	66.4782608696	210.570144511
12viqt	null	null
12vs5a	38.76	175.788004141
12w4aa	42	0
12w4qj	104	145.663996924
12wfcz	304.857142857	456.049317061
12wg 	294.5	433.232327972
12wneb	75.9259259259	202.389782703
12wp0v	98.4571428571	459.840397334
12wpsy	59.0975609756	217.931271878
12wt3z	95.5882352941	235.005646696
12wtr5	126.350819672	397.116621853
12ww97	252.292929293	430.507599213
12wx4e	97.0714285714	356.6734129
12wxnx	10.9047619048	16.3296538963
12x1 	11.3333333333	12.2565175406
12x3wb	244.176470588	297.810882607
12x5u5	95.0105263158	156.466004025
12x74b	85.8120300752	262.114569176
12x9op	1	0
12xf6i	192.688118812	498.589432832
