id	titlescore	titlestd		id	titlescore	titlestd
1qwhdw	2.6	1.8547236991		1p5y8c	192.461538462	265.748372034
1rl5k6	2.6	2.7276363394		1967tv	202.229166667	275.387548101
vi47f	2.6363636364	2.8371793699		1a8xwp	99.8777777778	284.573358157
1ro4kq	2.6486486487	1.6143983268		1r518r	288.194690265	380.752395757
1157tj	2.6666666667	1.2472191289		1pb94v	225.744360902	301.750921886
16ej8g	2.6666666667	2.6246692913		1aohmu	278.861111111	367.413758042
1ef6fj	2.6666666667	1.2472191289		rcqpf	85.921875	123.15876923
1g46jl	2.6666666667	1.6996731712		1e524t	251.1	287.911253688
1g9clk	2.6666666667	1.6996731712		1jf3se	317.017241379	450.992614999
1rcgm2	2.6666666667	1.6996731712		1r28l6	349.333333333	550.855990457
1rdu2e	2.6666666667	1.5986105078		1p5d09	331.080139373	461.078032187
1rljtx	2.6666666667	1.6996731712		1num6s	332.798365123	480.741313
1rqf9v	2.6666666667	1.7950549357		1ekzca	null	null
1lb3tm	2.7142857143	1.6659862557		1qiooz	null	null
1rm08a	2.7142857143	2.2497165354		1re5dc	null	null
1r7jtr	2.75	1.0897247359		1rlvaa	2	0
1rl12d	2.75	2.046338193		1ldbhi	206.235294118	240.799166847
1ron1v	2.75	1.4790199458		lsn6i	null	null
1rqbnk	2.75	2.126225137		1pny7n	337.04	353.631642249
1nyuqs	2.7777777778	2.393406581		1pbro2	215.292929293	236.063861096
1rieed	2.8181818182	3.0694441848		1re5i6	414.278350515	502.177459541
1fxb8h	2.8333333333	3.1666666667		1hpb6k	193	253.303507016
1rjpt6	2.9	2.2113344388		1gwnwf	106.75	74.8911710417
198w37	2.9090909091	2.0650575803		1rf8yt	49.5882352941	101.327401104
12fybf	3	1		1reljs	null	null
14ns0s	3	0		1pohxk	127.9375	162.436321658
15c2ud	3	0		1rku81	75.7090909091	175.451280233
168gcr	3	2.3452078799		xoai5	17.0454545455	51.3742748436
16mma1	3	2		1rpi3q	375.8	726.142520446
17huya	3	0		1m9s8x	null	null
19ysth	3	1.4142135624		1r251v	368.517241379	460.352198055
1bkyi9	3	0		1q21xv	286.281553398	468.707195689
1cg8qp	3	0		1fjf43	166.888888889	363.031304979
1e2e1x	3	0		19f4x3	137.166666667	136.985907629
1istr6	3	1		zvycs	112.2	165.323198614
1jkcy3	3	2.1602468995		1anprz	378	494.474131443
1jqp61	3	0		1re1pn	249.166666667	359.313581708
1k56ms	3	1		1qg9cz	206.425	363.792721718
1mefjr	3	1.2247448714		1hd3h2	117.769230769	173.649139556
1obgqr	3	2		1nx54d	259.632653061	406.320306639
1obzfx	3	0		1qzx4i	94.7	83.8833118087
1qoz5t	3	0		11kale	242.125	463.961772177
1qqka2	3	0		1qt5u3	15.3333333333	12.6578916974
1r16yk	3	2.0976176963		1qhnjg	136.111111111	118.702657879
1r1i97	3	0		1rgovd	16	0
1r1xaf	3	2		1qeqc8	330.326923077	612.85980707
1r390m	3	0		1r74zw	null	null
1r3o9p	3	0		1rmmz2	88.6666666667	79.8929839779
1r59mr	3	0		174k6k	null	null
1r5eym	3	1		1r8rf4	143.282828283	225.385552511
1r6 o	3	0		q0ugx	100.642857143	115.265288507
1r62r4	3	0		1i4m3t	1274	313
1r7cxp	3	2.9154759474		19e77z	null	null
1r8bke	3	2		1mlxng	160.555555556	92.3232378489
1raccx	3	2.4494897428		1rjued	70.6530612245	173.416044619
1raj6v	3	0		1o1hls	353.080808081	482.354802076
1rc88o	3	0		1r8298	null	null
1rd0rl	3	0		1rois2	null	null
1rd1kq	3	0		18lkpd	162.5625	374.344087831
1rd6yw	3	2		1r6spw	null	null
1rectr	3	2.5		1q41rf	164.62755102	278.114642079
1rf7ny	3	0		1pfwh9	null	null
1rg7ok	3	0		1rd65f	146.298969072	493.837950067
1rhxqx	3	0		1rjdny	28.375	59.2988985985
1rj2nu	3	0		1rnt75	27.0240963855	69.4359331827
1rjiib	3	0		1j87fz	198.8125	298.249270483
1rk6cr	3	0		1g1kyw	406.202020202	281.9480925
1rl3rq	3	0		142c3w	345.232323232	406.282526674
1rl7bb	3	2.5071326821		1jw54i	282.161616162	242.028243909
1rlf0u	3	0		1rnrll	24.9444444444	49.620193271
1rlu8n	3	0		1rgb0p	null	null
1rm4nc	3	2.3452078799		1ph8e5	409.272727273	429.607192399
1rmkmp	3	0		1plaj5	45.3854166667	79.9162803855
1rmznv	3	0		w4fwu	558.25	889.568633758
1ro5jg	3	2.3452078799		106mr0	199.020618557	541.193945063
1rp224	3	0		yacoo	null	null
1rpkl4	3	0		1pnqeg	127.083333333	222.353119434
1rq7ya	3	0		1q9edx	74.25	31.275989193
1rqac8	3	1.8257418584		1iw1uy	null	null
1rqcef	3	2.4494897428		1hshj1	null	null
1rqfsk	3	2.7224556389		1hzn1z	409	0
1rqgjp	3	0		1n15ao	141.857142857	100.540579684
j2fzy	3	0		1qmhxz	null	null
vzarm	3	0		1pwhzt	null	null
r19f8	3.05	2.5782746169		1pykim	7	5
1renjr	3.0666666667	3.6233808645		1rbr4k	25.6527777778	96.3293193688
1lm16a	3.0833333333	2.5644470922		1rhve0	178.673684211	446.374151348
1rcljv	3.0833333333	2.0598678491		1r5x4t	null	null
1rlbui	3.0833333333	3.4990077959		1os6nm	267.75	386.890407609
1revr5	3.0869565217	2.1246594301		xao08	null	null
1rili0	3.0869565217	2.5522887168		1r8sq0	90.5	9.5
1re2aj	3.1111111111	2.3306863293		1o59gs	128.25	121.349443756
1rh2sa	3.1111111111	3.7251232476		1pam5y	223.333333333	331.32250629
1rq9hj	3.1111111111	5.0098668078		1qguwv	322.428571429	304.681734247
1rius9	3.125	4.8589479314		1bqlpk	195.84375	216.638972339
1dqdul	3.1428571429	2.7479120088		1qcise	200.106796117	329.71620373
1rofgc	3.1428571429	4.0506991082		1dxg9u	146	94.3804358258
1rmikf	3.1538461539	2.9572896595		14hxr1	106.25	55.3234805485
1rfs9w	3.1666666667	1.5723301887		1rgo2l	null	null
1pvo5z	3.2	1.6		1r14dv	65.7987012987	225.251356854
1rcc67	3.2	2.4		182ikx	null	null
1rnzy4	3.2	2.6381811917		1r5zd8	null	null
1rpnk4	3.2083333333	2.6767387911		1ferq5	6.1818181818	7.7055845371
1ro8fj	3.2222222222	5.2763155869		1rnq5s	50.2105263158	241.012246675
1gijxx	3.25	1.0897247359		1rp09t	78.3231707317	241.679210282
1rkr64	3.25	1.6393596311		1rhdmd	5	4.9665548086
vmq54	3.2631578947	3.3061681631		1cocxg	13.8639455782	37.0038864397
1rq07w	3.2666666667	1.6519348925		1rpqas	59.7948717949	184.093159177
12jfta	3.2727272727	1.6564424689		1rfmdv	27.3	76.3839642857
1rpoak	3.3116883117	8.4411788126		1qyihv	10.2195121951	15.4517537013
1bevul	3.3333333333	1.2472191289		1qp4p3	481.75	583.920155073
1h3xd8	3.3333333333	2.0548046677		1ntupv	157.216494845	389.957550606
1qauf7	3.3333333333	1.490711985		1pwzjf	532.777777778	496.926931107
1rbsgg	3.3333333333	1.2472191289		1poyed	219.537634409	340.893309679
1reaui	3.3333333333	3.6817870057		1r9vfx	216.184931507	455.898300415
1rfbh3	3.3333333333	0.9428090416		18ogn0	null	null
1rkf15	3.3333333333	2.6246692913		1qf8ft	209.076923077	473.301572677
1hho92	3.3571428571	3.5376978563		1pdp45	166.62745098	196.232151509
1rgskv	3.3636363636	1.6109131952		1c1op4	987.5	1027.2010514
1rqanz	3.4	2.4166091947		1rgw9l	143.25	230.953323206
1rpvby	3.4193548387	5.1479666738		1qe5l3	129.8	311.818268752
1rq5q9	3.4230769231	3.6812735769		1q5tu3	null	null
1rpu1n	3.4285714286	2.1946130708		1pp264	85.6530612245	181.960867179
1r2n13	3.4545454546	2.7090298956		1rj2iw	63.7890625	201.885667379
1rqbew	3.4761904762	3.6465123274		129jpx	32.0357142857	84.6707835185
10fpsf	3.5	2.2912878475		1rfa5w	52.9591836735	202.053130938
129zwx	3.5	2.5		1cbevl	476.212121212	573.572118575
16vjzz	3.5	2.5		1qhjtw	null	null
1fw91q	3.5	2.5		1hn2eh	67.92	205.061828725
1jzs36	3.5	1.5		1qyq5k	57.9793814433	274.247723797
1lgqdm	3.5	0.5		1qf356	160.43	553.280132573
1orhw6	3.5	0.5		1mv1bf	176.97979798	274.80034919
1otxg3	3.5	1.5		1rb59a	7	0
1q67k6	3.5	2.5		1re5wd	28.1647058824	73.8271187316
1r6tel	3.5	2.5		1rj9zt	145.703296703	284.286962069
1r94xf	3.5	1.5		1rj3y6	101.236842105	279.984814834
1riwul	3.5	0.5		w4f51	391.232323232	408.105522804
1rl2cu	3.5	2.0615528128		1rjs9w	23.25	34.3210940968
1rl9fc	3.5	3.6400549446		1du5cw	307.06122449	441.974969656
1rm1y3	3.5	2.2912878475		1rji79	10.9090909091	33.6126452002
1rncb0	3.5	1.5		1ptjz1	74.8387096774	114.006818351
1rpvma	3.5	1.6583123952		1ekmo4	81.5	25.1843205189
1rq07v	3.5	1.1180339888		1p8q5w	272.333333333	380.043491663
z5z21	3.5	2.0615528128		1opw8s	352.142857143	657.752217474
15sgjh	3.55	3.7077621283		1fpngg	null	null
1rdti9	3.5625	3.2590019561		1rfrn9	null	null
1csaow	3.6	2.6532998323		19fmjf	null	null
1rjndg	3.6	5.1613951602		18d15o	null	null
1rqlgc	3.6	2.5768197454		1pkck2	220.39	280.243140683
1q3hmd	3.6428571429	2.4671308627		11y09d	null	null
1rq74l	3.6578947368	3.8951813402		1o768a	null	null
10ogew	3.6666666667	2.0548046677		1ra9pt	null	null
1kjyod	3.6666666667	3.0912061652		zrvi3	144.505050505	272.745168137
1qqb23	3.6666666667	2.6874192494		1qibwk	747.93	563.413582637
1rd7qj	3.6666666667	1.6996731712		1qeuh7	null	null
1rfapt	3.6666666667	0.9428090416		1jjo27	209	173.622195202
1rpvm6	3.6666666667	2.8087165911		1q0kh4	null	null
t5lmg	3.6666666667	3.0912061652		1nlrd4	null	null
1gpul7	3.7142857143	2.0503857278		u3rrk	258.545454545	257.262601079
1rp642	3.7142857143	4.1820803338		1qvxwi	353.191919192	500.840317639
1azr7w	3.75	2.1650635095		wsjpu	62.1818181818	62.5820453221
1raqj4	3.7826086957	5.0943832817		1pbara	17.8536585366	62.4162115337
1rc0vh	3.7894736842	4.4553805127		1riy6y	8	0
1rfd6j	3.8	2.9257477677		13t4rf	219.454545455	317.210259834
1om1fv	3.8333333333	4.058598554		1gz3cg	null	null
1rp6v4	3.8333333333	1.2133516482		1qkhk5	176	76.1642960973
1rp7p7	3.8333333333	3.0230595245		1grzb1	418.625	395.076555081
jlooi	3.8333333333	1.8633899813		zuex4	null	null
1rjkz0	3.8571428571	3.0438965361		kcl8q	null	null
1rq7sf	3.8571428571	3.2701494692		1mb9g4	121	56.5154846038
1re182	3.875	3.7339936172		136jfh	null	null
1rle2k	3.875	3.2572035552		1l9hdc	null	null
1az2hm	3.9	4.7212286537		1rq81e	43.9722222222	226.139151619
10e9ny	3.9090909091	5.1248866144		1d2wbu	214.2	315.634852321
1rfff6	3.9444444444	4.0479380515		1lzxc5	147.714285714	130.475738616
101s7q	4	0		ynedj	170.242424242	280.581326222
12658v	4	0		1qomz7	null	null
12xlqb	4	0		pee0r	45	34.2238619573
141u55	4	0		1qygz5	null	null
162oze	4	0		1dk5z8	276.282828283	371.888900549
16y0q6	4	0		1bqpfz	null	null
180kpk	4	1.8708286934		1ps41f	135.649484536	203.886467358
19gmmt	4	3.2513733362		1qygwp	168.193181818	283.507129057
1ad5ak	4	0		1kqgmn	187.272727273	201.429929576
1cbnyt	4	3.4335803011		1pa2c4	null	null
1cxs9j	4	0		18ogx4	226.01010101	323.290359373
1dduu9	4	3.3333333333		1rahas	292.787878788	365.915436296
1dq2z7	4	0		1i9pt5	654.5	1159.2599579
1e514z	4	3		1ocakb	174	92.5140915907
1e6li3	4	3		1qg4kt	79	0
1ebd1a	4	0		1qjj20	null	null
1g0dxz	4	0		1qe567	180.646464646	254.785562961
1ge31h	4	2.9439202888		1p4qh8	247.2	288.506083125
1gndka	4	0		1qft7b	402.787878788	477.204936022
1ljy4q	4	1		1ofu1k	258.575757576	341.556126713
1lwdmm	4	0		jy61a	107.591836735	179.147005918
1ly5cn	4	0		serhk	25	0
1mnxec	4	3		1re5io	null	null
1mvkz2	4	0		1of8qi	249.280898876	336.315160806
1nnfpz	4	2.4494897428		17vn19	474	199.592585033
1pd17b	4	5.537749242		1mbk89	289.222222222	587.595520806
1qgc4f	4	1		1pydpl	null	null
1qm8be	4	2.1602468995		1pqtt7	199.307692308	257.507396343
